model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,74.31%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,70.05%
MiniMax-M2,MiniMax,MiniMax training dataset,65.74%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,65.25%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,63.95%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,63.87%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,63.77%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,63.32%
Qwen3 Max,Alibaba,Alibaba training dataset,62.82%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,62.44%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,62.09%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,61.35%
Magistral Medium 1.2,Mistral,Mistral training dataset,59.28%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,59.14%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,58.80%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,58.50%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,57.55%
GLM-4.5-Air,Z AI,Z AI training dataset,57.32%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,57.31%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,56.71%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,56.70%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,55.67%
Ring-1T,InclusionAI,InclusionAI training dataset,54.86%
Magistral Small 1.2,Mistral,Mistral training dataset,53.43%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,52.71%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,52.69%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,52.39%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,51.57%
Ling-1T,InclusionAI,InclusionAI training dataset,50.77%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,50.62%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,50.59%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,50.18%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,48.94%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,48.89%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,48.70%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,47.88%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,47.88%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,47.66%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,47.42%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,47.19%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,46.92%
MiniMax M1 80k,MiniMax,MiniMax training dataset,46.83%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,46.47%
Kimi K2,Moonshot AI,Moonshot AI training dataset,46.41%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,46.20%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,46.09%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,46.05%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,45.22%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,45.02%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,44.72%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,44.66%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,44.39%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,44.24%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,43.76%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,43.62%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,43.31%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,43.31%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,43.18%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,41.22%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,39.95%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,39.75%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,37.65%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,35.33%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,34.78%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,33.83%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,33.62%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,33.29%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,33.15%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,32.91%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,32.76%
Mistral Medium 3.1,Mistral,Mistral training dataset,32.69%
QwQ 32B,Alibaba,Alibaba training dataset,32.68%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,31.06%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,30.46%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,30.23%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,29.96%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,29.27%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,28.86%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,28.74%
Qwen2.5 Max,Alibaba,Alibaba training dataset,28.49%
MiniMax M1 40k,MiniMax,MiniMax training dataset,28.45%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,27.58%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,27.34%
Codestral-Mamba,Mistral,Mistral training dataset,26.98%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,26.88%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,25.45%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,25.40%
Grok 2 (Dec '24),xAI,xAI training dataset,25.21%
Reka Flash 3,Reka AI,Reka AI training dataset,25.18%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,24.70%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,24.65%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,24.64%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,24.42%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,23.93%
Command-R (Mar '24),Cohere,Cohere training dataset,23.75%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,23.69%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,23.69%
Command-R (Aug '24),Cohere,Cohere training dataset,23.68%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,23.66%
Mistral 7B Instruct,Mistral,Mistral training dataset,23.54%
R1 1776,Perplexity,Perplexity training dataset,23.49%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,23.39%
Grok-1,xAI,xAI training dataset,23.38%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,23.38%
Devstral Small (May '25),Mistral,Mistral training dataset,23.01%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,22.95%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,22.90%
Mistral Small 3.2,Mistral,Mistral training dataset,22.88%
Arctic Instruct,Snowflake,Snowflake training dataset,22.82%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,22.78%
