model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,83.84%
MiniMax-M2,MiniMax,MiniMax training dataset,77.94%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,75.11%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,74.33%
Qwen3 Max,Alibaba,Alibaba training dataset,71.63%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,71.55%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,70.29%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,69.41%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,68.88%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,68.69%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,68.09%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,66.56%
Command-R (Aug '24),Cohere,Cohere training dataset,66.38%
Command-R (Mar '24),Cohere,Cohere training dataset,66.33%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,65.98%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,65.18%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,65.10%
Magistral Medium 1.2,Mistral,Mistral training dataset,64.78%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,64.53%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,64.17%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,63.78%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,63.76%
Kimi K2,Moonshot AI,Moonshot AI training dataset,63.16%
Mistral 7B Instruct,Mistral,Mistral training dataset,62.88%
Codestral-Mamba,Mistral,Mistral training dataset,62.74%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,62.34%
GLM-4.5-Air,Z AI,Z AI training dataset,62.11%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,61.46%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,61.41%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,59.79%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,58.34%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,57.87%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,57.41%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,56.51%
Ling-1T,InclusionAI,InclusionAI training dataset,56.30%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,56.29%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,56.18%
Ring-1T,InclusionAI,InclusionAI training dataset,55.74%
MiniMax M1 80k,MiniMax,MiniMax training dataset,55.59%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,55.56%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,55.48%
Magistral Small 1.2,Mistral,Mistral training dataset,55.19%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,55.11%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,54.43%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,54.34%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,54.21%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,53.81%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,53.79%
