model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,83.01%
MiniMax-M2,MiniMax,MiniMax training dataset,77.45%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,73.73%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,73.69%
Qwen3 Max,Alibaba,Alibaba training dataset,69.63%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,69.57%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,69.51%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,67.75%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,67.61%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,67.52%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,66.99%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,64.58%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,64.55%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,64.06%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,64.02%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,63.79%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,62.98%
Magistral Medium 1.2,Mistral,Mistral training dataset,62.86%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,62.20%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,61.58%
Kimi K2,Moonshot AI,Moonshot AI training dataset,61.11%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,60.37%
GLM-4.5-Air,Z AI,Z AI training dataset,59.91%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,59.32%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,59.20%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,58.83%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,57.17%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,56.51%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,55.42%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,54.29%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,54.17%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,54.15%
Ring-1T,InclusionAI,InclusionAI training dataset,53.94%
Ling-1T,InclusionAI,InclusionAI training dataset,53.92%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,53.88%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,53.78%
MiniMax M1 80k,MiniMax,MiniMax training dataset,53.59%
Magistral Small 1.2,Mistral,Mistral training dataset,53.57%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,53.28%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,52.71%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,52.38%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,52.06%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,51.71%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,51.64%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,51.52%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,51.50%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,51.38%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,50.49%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,50.30%
Command-R (Aug '24),Cohere,Cohere training dataset,50.16%
Command-R (Mar '24),Cohere,Cohere training dataset,50.11%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,49.97%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,49.82%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,49.33%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,49.16%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,49.12%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,48.75%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,48.22%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,47.74%
Codestral-Mamba,Mistral,Mistral training dataset,47.46%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,47.41%
Mistral 7B Instruct,Mistral,Mistral training dataset,47.29%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,47.20%
Mistral Medium 3.1,Mistral,Mistral training dataset,46.24%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,45.33%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,44.55%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,44.51%
MiniMax M1 40k,MiniMax,MiniMax training dataset,44.48%
