model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,86.62%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,79.40%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,77.59%
MiniMax-M2,MiniMax,MiniMax training dataset,77.47%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,77.11%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,76.90%
Qwen3 Max,Alibaba,Alibaba training dataset,75.55%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,75.16%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,74.48%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,74.22%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,73.45%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,73.14%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,73.12%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,73.00%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,71.54%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,71.42%
Magistral Medium 1.2,Mistral,Mistral training dataset,71.31%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,71.20%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,69.46%
GLM-4.5-Air,Z AI,Z AI training dataset,69.42%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,68.87%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,68.11%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,66.25%
Ring-1T,InclusionAI,InclusionAI training dataset,65.46%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,65.09%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,65.01%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,64.98%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,64.36%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,64.03%
Kimi K2,Moonshot AI,Moonshot AI training dataset,64.01%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,63.75%
Magistral Small 1.2,Mistral,Mistral training dataset,63.51%
Ling-1T,InclusionAI,InclusionAI training dataset,63.29%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,63.21%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,62.29%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,61.61%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,61.50%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,61.15%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,60.94%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,60.21%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,59.98%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,59.72%
MiniMax M1 80k,MiniMax,MiniMax training dataset,59.59%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,59.52%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,59.45%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,59.29%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,58.98%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,58.90%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,58.77%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,58.69%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,58.14%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,57.14%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,57.10%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,56.72%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,56.53%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,56.52%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,55.79%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,55.12%
