model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,81.81%
MiniMax-M2,MiniMax,MiniMax training dataset,76.94%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,74.03%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,72.44%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,69.48%
Qwen3 Max,Alibaba,Alibaba training dataset,68.51%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,68.46%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,68.16%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,67.97%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,67.92%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,67.10%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,65.87%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,65.30%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,65.18%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,64.26%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,63.63%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,63.23%
Magistral Medium 1.2,Mistral,Mistral training dataset,62.79%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,62.27%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,62.14%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,60.69%
Kimi K2,Moonshot AI,Moonshot AI training dataset,60.42%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,60.01%
GLM-4.5-Air,Z AI,Z AI training dataset,59.88%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,59.53%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,58.08%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,58.07%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,57.52%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,56.36%
Ring-1T,InclusionAI,InclusionAI training dataset,55.92%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,55.48%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,55.48%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,55.10%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,55.06%
Magistral Small 1.2,Mistral,Mistral training dataset,54.93%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,54.80%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,54.66%
MiniMax M1 80k,MiniMax,MiniMax training dataset,54.57%
Ling-1T,InclusionAI,InclusionAI training dataset,54.55%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,54.34%
